date,ff4_hf,sp500_hf,dbkeven02_d,usstocks1_hf,pc1ff1_hf,pmnegm_ff4sp500,pmposm_ff4sp500,pmnegm_pc1ff1usstocks1,pmposm_pc1ff1usstocks1,gs1,gs10,sven5f5,bkeven05,exp_gdp_12m,exp_cpi_12m,us_cpi,us_ip,logsp500,us_gdpdef,us_rgdp,ebpnew,eureon3m_hf,stoxx50_hf,deurinflswap2y_d,pmnegm_eureon3mstoxx50,pmposm_eureon3mstoxx50,ea_ip_excl_constr,hicp,stoxx50,ea_bbb_oas_all_fred,ea_rgdp,ea_gdpdef,de1y_haver
1983/1/1,,,,,,,,,,8.6199999,10.46,10.938024,,,,458.39465,389.99341,497.16568,396.69604,876.34393,0.37220001,,,,,,,,,,,,
1983/2/1,,,,,,,,,,8.9200001,10.72,11.092295,,,,458.49673,389.36349,498.94458,396.87036,877.22681,0.31869999,,,,,,,,,,,,
1983/3/1,,,,,,,,,,9.04,10.51,10.831335,,,,458.59872,390.17828,502.32825,396.99289,876.87256,0.20909999,,,,,,,,,,,,
1983/4/1,,,,,,,,,,8.9799995,10.4,10.71583,,,,459.30975,391.36316,505.93256,397.2901,878.47766,0.098700002,,,,,,,,,,,,
1983/5/1,,,,,,,,,,8.8999996,10.38,10.769586,,,,459.71381,392.05762,510.05536,397.50171,878.39014,-0.086900003,,,,,,,,,,,,
1983/6/1,,,,,,,,,,9.6599998,10.85,11.006209,,,,459.91522,392.65826,511.43344,397.79236,880.27112,0.064499997,,,,,,,,,,,,
1983/7/1,,,,,,,,,,10.2,11.38,11.557611,,,,460.31683,394.16129,511.82874,398.22668,880.24762,-0.076800004,,,,,,,,,,,,
1983/8/1,,,,,,,,,,10.53,11.85,11.966966,,,,460.61697,395.25485,509.01776,398.58371,880.97113,-0.1522,,,,,,,,,,,,
1983/9/1,,,,,,,,,,10.16,11.65,11.797814,,,,460.91623,396.74048,511.83722,398.89911,881.63586,-0.062100001,,,,,,,,,,,,
1983/10/1,,,,,,,,,,9.8100004,11.54,11.797405,,,,461.31384,397.56998,512.19067,399.11014,881.19049,-0.061999999,,,,,,,,,,,,
1983/11/1,,,,,,,,,,9.9399996,11.69,11.860969,,,,461.61102,397.9231,510.78143,399.31686,883.23419,0.056899998,,,,,,,,,,,,
1983/12/1,,,,,,,,,,10.11,11.83,11.951729,,,,461.90732,398.45166,510.17438,399.4827,884.4165,0.119,,,,,,,,,,,,
1984/1/1,,,,,,,,,,9.8999996,11.67,11.802872,,,,462.59528,400.40842,511.39493,399.90338,884.03656,0.031300001,,,,,,,,,,,,
1984/2/1,,,,,,,,,,10.04,11.84,11.933495,,,,463.0838,400.86014,505.73099,400.44385,885.14258,-0.044199999,,,,,,,,,,,,
1984/3/1,,,,,,,,,,10.59,12.32,12.408113,,,,463.37576,401.34671,505.91223,400.73477,885.52618,0.0572,,,,,,,,,,,,
1984/4/1,,,,,,,,,,10.9,12.63,12.646335,,,,463.76373,401.98203,506.01901,401.02509,885.57831,0.1179,,,,,,,,,,,,
1984/5/1,,,,,,,,,,11.66,13.41,13.339064,,,,463.95715,402.44693,505.18689,401.17969,887.26678,-0.2483,,,,,,,,,,,,
1984/6/1,,,,,,,,,,12.08,13.56,13.397343,,,,464.15021,402.8114,503.12531,401.39447,886.99976,-0.0251,,,,,,,,,,,,
1984/7/1,,,,,,,,,,12.03,13.36,13.202876,,,,464.53519,403.12735,501.85855,401.746,886.40784,-0.1016,,,,,,,,,,,,
1984/8/1,,,,,,,,,,11.82,12.72,12.446926,,,,464.82297,403.21979,510.26541,402.04916,888.93781,0.1911,,,,,,,,,,,,
1984/9/1,,,,,,,,,,11.58,12.52,12.071995,,,,465.10992,403.03961,511.28369,402.22443,887.31982,-0.024599999,,,,,,,,,,,,
1984/10/1,,,,,,,,,,10.9,12.16,11.832409,,,,465.49124,402.88153,510.48462,402.44287,888.0047,-0.2017,,,,,,,,,,,,
1984/11/1,,,,,,,,,,9.8199997,11.57,11.648026,,,,465.68134,403.26605,511.31454,402.6355,887.99298,-0.093500003,,,,,,,,,,,,
1984/12/1,,,,,,,,,,9.3299999,11.5,11.767,,,,465.87109,403.38141,510.3446,402.95084,888.94226,-0.056299999,,,,,,,,,,,,
1985/1/1,,,,,,,,,,9.0200005,11.38,11.756538,,,,466.06049,403.21164,514.41321,403.43726,888.26715,-0.080499999,,,,,,,,,,,,
1985/2/1,,,,,,,,,,9.29,11.51,11.728039,,,,466.62653,403.56485,519.80548,403.85269,889.98511,-0.1209,,,,,,,,,,,,
1985/3/1,,,,,,,,,,9.8599997,11.86,12.050958,,,,467.09579,403.71478,518.96735,404.16553,889.65161,0.088799998,,,,,,,,,,,,
1985/4/1,,,,,,,,,,9.1400003,11.43,11.876204,,,,467.2829,403.44565,519.59851,404.26294,890.07831,-0.058400001,,,,,,,,,,,,
1985/5/1,,,,,,,,,,8.46,10.85,11.510881,,,,467.46964,403.59772,522.06049,404.42749,890.23486,-0.21870001,,,,,,,,,,,,
1985/6/1,,,,,,,,,,7.8000002,10.16,10.74951,,,,467.74908,403.65689,524.11438,404.61938,890.27789,0.14470001,,,,,,,,,,,,
1985/7/1,,,,,,,,,,7.8600001,10.31,10.940782,,,,467.93497,403.00494,526.00824,404.79584,891.53931,0.1125,,,,,,,,,,,,
1985/8/1,,,,,,,,,,8.0500002,10.33,10.968063,,,,468.12048,403.41699,523.80701,405.04465,892.57526,0.1047,,,,,,,,,,,,
1985/9/1,,,,,,,,,,8.0699997,10.37,11.087742,,,,468.30566,403.85007,521.64435,405.20459,891.13397,0.2097,,,,,,,,,,,,
1985/10/1,,,,,,,,,,8.0100002,10.24,10.960168,,,,468.67502,403.43823,522.6665,405.38019,892.7038,0.2617,,,,,,,,,,,,
1985/11/1,,,,,,,,,,7.8800001,9.7799997,10.536263,,,,469.1348,403.7746,528.66833,405.59314,892.50714,0.25330001,,,,,,,,,,,,
1985/12/1,,,,,,,,,,7.6700001,9.2600002,10.102366,,,,469.59247,404.82202,533.39392,405.79919,892.17969,0.032400001,,,,,,,,,,,,
1986/1/1,,,,,,,,,,7.73,9.1899996,9.9528618,,,,469.95709,405.27496,533.90521,406.04761,892.65442,0.27070001,,,,,,,,,,,,
1986/2/1,,,,,,,,,,7.6100001,8.6999998,9.426074,,,,469.77493,404.60416,539.08282,406.09579,893.88824,-0.1864,,,,,,,,,,,,
1986/3/1,,,,,,,,,,7.0300002,7.7800002,8.3487854,,,,469.2265,403.91559,544.95062,406.09714,893.56366,0.58410001,,,,,,,,,,,,
1986/4/1,,,,,,,,,,6.4400001,7.3000002,7.7541771,,,,468.85919,403.99377,547.21753,406.20349,893.98907,0.5406,,,,,,,,,,,,
1986/5/1,,,,,,,,,,6.6500001,7.71,8.1775236,,,,469.1348,404.19629,547.49084,406.46689,893.50897,0.0328,,,,,,,,,,,,
1986/6/1,,,,,,,,,,6.73,7.8000002,8.4281521,,,,469.5011,403.85269,550.24585,406.75854,893.9281,0.073899999,,,,,,,,,,,,
1986/7/1,,,,,,,,,,6.27,7.3000002,8.1365137,,,,469.59247,404.40491,548.34882,406.74255,894.64648,0.69260001,,,,,,,,,,,,
1986/8/1,,,,,,,,,,5.9299998,7.1700001,8.1290474,,,,469.68375,404.27127,550.11981,406.8259,894.69879,0.65649998,,,,,,,,,,,,
1986/9/1,,,,,,,,,,5.77,7.4499998,8.5850573,,,,470.04803,404.47235,547.61951,407.07428,895.09198,0.29890001,,,,,,,,,,,,
1986/10/1,,,,,,,,,,5.7199998,7.4299998,8.6153774,,,,470.22968,404.92462,546.95618,407.26874,895.83435,0.51099998,,,,,,,,,,,,
1986/11/1,,,,,,,,,,5.8000002,7.25,8.3436832,,,,470.41101,405.39218,550.23859,407.44965,894.78101,0.60720003,,,,,,,,,,,,
1986/12/1,,,,,,,,,,5.8699999,7.1100001,8.1338634,,,,470.77267,406.21759,551.54883,407.58972,895.35858,0.62889999,,,,,,,,,,,,
1987/1/1,,,,,,,,,,5.7800002,7.0799999,8.0261898,,,,471.31274,405.90161,557.40381,407.92108,894.84332,0.47850001,,,,,,,,,,,,
1987/2/1,,,,,,,,,,5.96,7.25,8.0978422,,,,471.67114,407.18091,563.7901,408.18097,896.35712,0.5248,,,,,,,,,,,,
1987/3/1,,,,,,,,,,6.0300002,7.25,8.0043955,,,,472.02829,407.34647,567.83667,408.37622,896.88318,0.38909999,,,,,,,,,,,,
1987/4/1,,,,,,,,,,6.5,8.0200005,8.7055473,,,,472.47293,407.99347,566.71625,408.61905,897.07507,-0.34490001,,,,,,,,,,,,
1987/5/1,,,,,,,,,,7,8.6099997,9.1104002,,,,472.73877,408.62619,566.56799,408.7991,897.20203,0.15710001,,,,,,,,,,,,
1987/6/1,,,,,,,,,,6.8000002,8.3999996,8.9649773,,,,473.1803,409.09988,570.83179,409.06461,897.2038,0.1224,,,,,,,,,,,,
1987/7/1,,,,,,,,,,6.6799998,8.4499998,9.1137638,,,,473.44424,409.79248,573.61444,409.24838,897.55859,0.2483,,,,,,,,,,,,
1987/8/1,,,,,,,,,,7.0300002,8.7600002,9.3509045,,,,473.88266,410.61841,579.71454,409.55606,897.7431,0.2445,,,,,,,,,,,,
1987/9/1,,,,,,,,,,7.6700001,9.4200001,9.9973526,,,,474.23199,410.88736,576.38477,409.84875,898.85547,0.25929999,,,,,,,,,,,,
1987/10/1,,,,,,,,,,7.5900002,9.5200005,9.9438238,,,,474.49323,412.32056,563.53979,410.15436,899.14075,-0.82870001,,,,,,,,,,,,
1987/11/1,,,,,,,,,,6.96,8.8599997,9.3867102,,,,474.84042,412.86011,550.11145,410.37653,899.54352,0.1486,,,,,,,,,,,,
1987/12/1,,,,,,,,,,7.1700001,8.9899998,9.6777229,,,,475.01361,413.34692,548.66046,410.59384,900.38458,-0.1002,,,,,,,,,,,,
1988/1/1,,,,,,,,,,6.9899998,8.6700001,9.5057478,,,,475.35901,413.38971,552.27191,410.93649,899.55164,-0.31510001,,,,,,,,,,,,
1988/2/1,,,,,,,,,,6.6399999,8.21,9.2115946,,,,475.53128,413.82147,555.33636,411.11905,899.91699,0.1068,,,,,,,,,,,,
1988/3/1,,,,,,,,,,6.71,8.3699999,9.3859959,,,,475.78912,414.06253,558.26233,411.41702,901.19067,-0.1543,,,,,,,,,,,,
1988/4/1,,,,,,,,,,7.0100002,8.7200003,9.6962748,,,,476.38818,414.61224,557.00043,411.79391,901.07581,-0.070799999,,,,,,,,,,,,
1988/5/1,,,,,,,,,,7.4000001,9.0900002,9.9633617,,,,476.64383,414.50424,554.51721,412.08041,901.57129,-0.0075,,,,,,,,,,,,
1988/6/1,,,,,,,,,,7.4899998,8.9200001,9.5526505,,,,477.06845,414.76373,560.09473,412.48526,901.9433,0.071199998,,,,,,,,,,,,
1988/7/1,,,,,,,,,,7.75,9.0600004,9.7740002,,,,477.4913,414.81302,559.53784,412.96436,901.59558,-0.229,,,,,,,,,,,,
1988/8/1,,,,,,,,,,8.1700001,9.2600002,9.8053999,,,,477.91235,415.23917,557.49127,413.26663,902.31018,-0.041299999,,,,,,,,,,,,
1988/9/1,,,,,,,,,,8.0900002,8.9799995,9.4069901,,,,478.33163,414.95428,559.02826,413.638,902.35986,0.1409,,,,,,,,,,,,
1988/10/1,,,,,,,,,,8.1099997,8.8000002,9.2528448,,,,478.6658,415.44733,562.54449,413.84772,902.58447,0.26679999,,,,,,,,,,,,
1988/11/1,,,,,,,,,,8.4799995,8.96,9.2106447,,,,478.99887,415.60275,560.18689,414.05569,903.02173,0.1129,,,,,,,,,,,,
1988/12/1,,,,,,,,,,8.9899998,9.1099997,9.0602856,,,,479.33081,416.08701,562.24835,414.36664,904.435,0.2394,,,,,,,,,,,,
1989/1/1,,,,,,,,,,9.0500002,9.0900002,8.9368601,,,,479.7442,416.38116,565.27124,414.86169,904.83569,0.204,,,,,,,,,,,,
1989/2/1,,,,,,,,,,9.25,9.1700001,8.9486313,,,,480.0737,415.92892,568.40845,415.18961,904.17065,0.11,,,,,,,,,,,,
1989/3/1,,,,,,,,,,9.5699997,9.3599997,8.9618406,,,,480.56592,416.14734,567.86383,415.49362,904.00513,0.3696,,,,,,,,,,,,
1989/4/1,,,,,,,,,,9.3599997,9.1800003,8.8613005,,,,481.29971,416.23459,571.12579,415.93256,904.78906,0.47569999,,,,,,,,,,,,
1989/5/1,,,,,,,,,,8.9799995,8.8599997,8.7441816,,,,481.78592,415.52939,575.02301,416.22842,904.86945,0.28380001,,,,,,,,,,,,
1989/6/1,,,,,,,,,,8.4399996,8.2799997,8.2583323,,,,482.10876,415.57877,577.9903,416.47397,905.60907,0.50209999,,,,,,,,,,,,
1989/7/1,,,,,,,,,,7.8899999,8.0200005,8.2202148,,,,482.43057,414.68738,580.30902,416.77362,905.85925,0.74900001,,,,,,,,,,,,
1989/8/1,,,,,,,,,,8.1800003,8.1099997,8.1344604,,,,482.43057,415.58456,584.8194,416.89838,905.75537,0.4262,,,,,,,,,,,,
1989/9/1,,,,,,,,,,8.2200003,8.1899996,8.18818,,,,482.67123,415.2236,585.11523,417.12479,905.77094,0.4869,,,,,,,,,,,,
1989/10/1,,,,,,,,,,7.9899998,8.0100002,8.0943861,,,,483.15085,415.15848,585.04675,417.42734,905.7226,0.5165,,,,,,,,,,,,
1989/11/1,,,,,,,,,,7.77,7.8699999,7.9596095,,,,483.5488,415.49142,582.98169,417.61215,906.0932,0.70139998,,,,,,,,,,,,
1989/12/1,,,,,,,,,,7.7199998,7.8400002,7.8745651,,,,483.866,416.10977,585.36768,417.83862,906.03638,0.5686,,,,,,,,,,,,
1990/1/1,,,,,,,,,,7.9200001,8.21,8.2505474,,2.9000001,4.7766666,484.81165,415.43683,583.05774,418.35065,906.30859,0.2929,,,,,,,407.97385,477.09793,,,,8.1400003
1990/2/1,-0.02,-0.16664,,-0.24072427,0.020335654,0,-0.02,0.020335654,0,8.1099997,8.4700003,8.4727259,,1.7726852,4.2336421,485.20303,416.43433,580.08063,418.72131,907.28851,0.42629999,,,,,,,408.24408,475.02612,,,,8.7600002
1990/3/1,-0.02,-0.17281,,-0.24793869,-0.00566948,0,-0.02,0,-0.00566948,8.3500004,8.5900002,8.4923639,,1.8348806,4.3737841,485.67068,416.93298,582.44196,419.10181,907.5141,0.45930001,,,,,,,408.47992,476.49942,,,,8.6499996
1990/4/1,0,0,,0,0,0,0,0,0,8.3999996,8.79,8.7025146,,2.0417142,4.4858141,485.90369,416.81757,582.44385,419.44095,907.40515,0.078199998,,,,,,,408.81589,478.99927,,,,8.7399998
